date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
2001-07-01,JPN,Japan,PAR,Paraguay,2,0
2001-07-01,MEX,Mexico,USA,United States,1,0
2001-07-01,URU,Uruguay,BRA,Brazil,1,0
2001-07-12,BRA,Brazil,MEX,Mexico,0,1
2001-07-14,COL,Colombia,ECU,Ecuador,1,0
2001-07-14,SEN,Senegal,MAR,Morocco,1,0
2001-07-15,COD,DR Congo,TUN,Tunisia,0,3
2001-07-15,PAR,Paraguay,MEX,Mexico,0,0
2001-07-18,BRA,Brazil,PAR,Paraguay,3,1
2001-07-21,ALG,Algeria,EGY,Egypt,1,1
2001-07-22,BIH,Bosnia and Herzegovina,IRN,Iran,2,2
2001-07-25,MEX,Mexico,URU,Uruguay,2,1
2001-07-29,COL,Colombia,MEX,Mexico,1,0
2001-07-29,CIV,Ivory Coast,COD,DR Congo,1,2
2001-08-01,QAT,Qatar,IRN,Iran,2,1
2001-08-05,KSA,Saudi Arabia,QAT,Qatar,1,2
2001-08-09,BRA,Brazil,PAN,Panama,5,0
2001-08-10,IRN,Iran,BIH,Bosnia and Herzegovina,4,0
2001-08-15,AUT,Austria,SUI,Switzerland,1,2
2001-08-15,BRA,Brazil,PAR,Paraguay,2,0
2001-08-15,CZE,Czech Republic,KOR,South Korea,5,0
2001-08-15,ECU,Ecuador,ARG,Argentina,0,2
2001-08-15,ENG,England,NED,Netherlands,0,2
2001-08-15,JPN,Japan,AUS,Australia,3,0
2001-08-15,NOR,Norway,TUR,Turkey,1,1
2001-08-15,SWE,Sweden,RSA,South Africa,3,0
2001-08-24,IRN,Iran,KSA,Saudi Arabia,2,0
2001-08-26,UZB,Uzbekistan,QAT,Qatar,2,1
2001-08-31,KSA,Saudi Arabia,IRQ,Iraq,1,0
2001-09-01,GER,Germany,ENG,England,1,5
2001-09-01,SCO,Scotland,CRO,Croatia,0,0
2001-09-01,ESP,Spain,AUT,Austria,4,0
2001-09-05,ARG,Argentina,BRA,Brazil,2,1
2001-09-05,AUT,Austria,BIH,Bosnia and Herzegovina,2,0
2001-09-05,BEL,Belgium,SCO,Scotland,2,0
2001-09-05,COL,Colombia,ECU,Ecuador,0,0
2001-09-05,TUR,Turkey,SWE,Sweden,1,2
2001-09-07,IRQ,Iraq,IRN,Iran,1,2
2001-09-14,QAT,Qatar,IRQ,Iraq,0,0
2001-09-28,QAT,Qatar,UZB,Uzbekistan,2,2
2001-09-28,KSA,Saudi Arabia,IRN,Iran,2,2
2001-10-04,JPN,Japan,SEN,Senegal,0,2
2001-10-05,IRQ,Iraq,KSA,Saudi Arabia,1,2
2001-10-06,CRO,Croatia,BEL,Belgium,1,0
2001-10-06,FRA,France,ALG,Algeria,4,1
2001-10-07,PAR,Paraguay,ARG,Argentina,2,2
2001-10-07,URU,Uruguay,COL,Colombia,1,1
2001-10-12,IRN,Iran,IRQ,Iraq,2,1
2001-11-07,ECU,Ecuador,URU,Uruguay,1,1
2001-11-08,KOR,South Korea,SEN,Senegal,0,1
2001-11-10,AUT,Austria,TUR,Turkey,0,1
2001-11-10,BEL,Belgium,CZE,Czech Republic,1,0
2001-11-10,ENG,England,SWE,Sweden,1,1
2001-11-10,KOR,South Korea,CRO,Croatia,2,0
2001-11-10,RSA,South Africa,EGY,Egypt,1,0
2001-11-11,AUS,Australia,FRA,France,1,1
2001-11-13,KOR,South Korea,CRO,Croatia,1,1
2001-11-14,CZE,Czech Republic,BEL,Belgium,0,1
2001-11-14,PAR,Paraguay,COL,Colombia,0,4
2001-11-14,ESP,Spain,MEX,Mexico,1,0
2001-11-14,TUR,Turkey,AUT,Austria,5,0
2001-11-14,URU,Uruguay,ARG,Argentina,1,1
2001-11-20,AUS,Australia,URU,Uruguay,1,0
2001-11-25,URU,Uruguay,AUS,Australia,3,0
2001-12-05,ALG,Algeria,GHA,Ghana,1,1
2001-12-09,KOR,South Korea,USA,United States,1,0
2001-12-30,QAT,Qatar,EGY,Egypt,2,2
2001-12-30,SEN,Senegal,ALG,Algeria,1,0
2002-01-04,EGY,Egypt,GHA,Ghana,2,0
2002-01-13,QAT,Qatar,IRQ,Iraq,1,3
2002-01-18,HAI,Haiti,CAN,Canada,0,2
2002-01-19,USA,United States,KOR,South Korea,2,1
2002-01-20,ECU,Ecuador,HAI,Haiti,0,2
2002-01-20,EGY,Egypt,SEN,Senegal,0,1
2002-01-21,MAR,Morocco,GHA,Ghana,0,0
2002-01-22,CAN,Canada,ECU,Ecuador,0,2
2002-01-24,RSA,South Africa,GHA,Ghana,0,0
2002-01-25,EGY,Egypt,TUN,Tunisia,1,0
2002-01-27,MEX,Mexico,KOR,South Korea,0,0
2002-01-29,COD,DR Congo,CIV,Ivory Coast,3,1
2002-01-30,RSA,South Africa,MAR,Morocco,3,1
2002-01-30,USA,United States,CAN,Canada,0,0
2002-01-30,KSA,Saudi Arabia,QAT,Qatar,3,1
2002-01-31,SEN,Senegal,TUN,Tunisia,0,0
2002-02-02,CAN,Canada,KOR,South Korea,2,1
2002-02-04,SEN,Senegal,COD,DR Congo,2,0
2002-02-06,KSA,Saudi Arabia,BRA,Brazil,0,1
2002-02-12,TUR,Turkey,ECU,Ecuador,0,1
2002-02-13,BEL,Belgium,NOR,Norway,1,0
2002-02-13,NED,Netherlands,ENG,England,1,1
2002-02-13,ESP,Spain,POR,Portugal,1,1
2002-02-13,URU,Uruguay,KOR,South Korea,2,1
2002-03-10,USA,United States,ECU,Ecuador,1,0
2002-03-13,TUN,Tunisia,KOR,South Korea,0,0
2002-03-20,KSA,Saudi Arabia,RSA,South Africa,1,0
2002-03-26,KOR,South Korea,TUR,Turkey,0,0
2002-03-27,FRA,France,SCO,Scotland,5,0
2002-03-27,GER,Germany,USA,United States,4,2
2002-03-27,NED,Netherlands,ESP,Spain,1,0
2002-03-27,KSA,Saudi Arabia,URU,Uruguay,3,2
2002-03-27,SWE,Sweden,SUI,Switzerland,1,1
2002-03-27,TUN,Tunisia,NOR,Norway,0,0
2002-04-17,CRO,Croatia,BIH,Bosnia and Herzegovina,2,0
2002-04-17,ECU,Ecuador,RSA,South Africa,0,0
2002-04-17,ENG,England,PAR,Paraguay,4,0
2002-04-17,GER,Germany,ARG,Argentina,0,1
2002-04-17,NOR,Norway,SWE,Sweden,0,0
2002-04-17,POR,Portugal,BRA,Brazil,1,1
2002-05-12,MEX,Mexico,COL,Colombia,2,1
2002-05-12,USA,United States,URU,Uruguay,2,1
2002-05-14,BEL,Belgium,ALG,Algeria,0,0
2002-05-14,NOR,Norway,JPN,Japan,3,0
2002-05-14,KSA,Saudi Arabia,SEN,Senegal,3,2
2002-05-15,SUI,Switzerland,CAN,Canada,1,3
2002-05-16,KOR,South Korea,SCO,Scotland,4,1
2002-05-17,SWE,Sweden,PAR,Paraguay,1,2
2002-05-18,FRA,France,BEL,Belgium,1,2
2002-05-18,GER,Germany,AUT,Austria,6,2
2002-05-19,USA,United States,NED,Netherlands,0,2
2002-05-20,SCO,Scotland,RSA,South Africa,0,2
2002-05-21,KOR,South Korea,ENG,England,1,1
2002-05-23,ECU,Ecuador,SEN,Senegal,0,1
2002-05-23,RSA,South Africa,TUR,Turkey,2,0
2002-05-25,JPN,Japan,SWE,Sweden,1,1
2002-05-26,KOR,South Korea,FRA,France,2,3
2002-05-31,FRA,France,SEN,Senegal,0,1
2002-06-01,GER,Germany,KSA,Saudi Arabia,8,0
2002-06-02,ENG,England,SWE,Sweden,1,1
2002-06-02,PAR,Paraguay,RSA,South Africa,2,2
2002-06-03,BRA,Brazil,TUR,Turkey,2,1
2002-06-03,CRO,Croatia,MEX,Mexico,0,1
2002-06-04,JPN,Japan,BEL,Belgium,2,2
2002-06-05,USA,United States,POR,Portugal,3,2
2002-06-06,FRA,France,URU,Uruguay,0,0
2002-06-07,ARG,Argentina,ENG,England,0,1
2002-06-07,ESP,Spain,PAR,Paraguay,3,1
2002-06-09,MEX,Mexico,ECU,Ecuador,2,1
2002-06-10,KOR,South Korea,USA,United States,1,1
2002-06-10,TUN,Tunisia,BEL,Belgium,1,1
2002-06-11,SEN,Senegal,URU,Uruguay,3,3
2002-06-12,RSA,South Africa,ESP,Spain,2,3
2002-06-12,SWE,Sweden,ARG,Argentina,1,1
2002-06-13,ECU,Ecuador,CRO,Croatia,1,0
2002-06-14,JPN,Japan,TUN,Tunisia,2,0
2002-06-14,KOR,South Korea,POR,Portugal,1,0
2002-06-15,GER,Germany,PAR,Paraguay,1,0
2002-06-16,SWE,Sweden,SEN,Senegal,1,2
2002-06-17,BRA,Brazil,BEL,Belgium,2,0
2002-06-17,MEX,Mexico,USA,United States,0,2
2002-06-18,JPN,Japan,TUR,Turkey,0,1
2002-06-21,ENG,England,BRA,Brazil,1,2
2002-06-21,GER,Germany,USA,United States,1,0
2002-06-22,KOR,South Korea,ESP,Spain,0,0
2002-06-22,SEN,Senegal,TUR,Turkey,0,1
2002-06-25,KOR,South Korea,GER,Germany,0,1
2002-06-26,BRA,Brazil,TUR,Turkey,1,0
2002-06-29,KOR,South Korea,TUR,Turkey,2,3
2002-06-30,GER,Germany,BRA,Brazil,0,2
2002-07-14,NZL,New Zealand,AUS,Australia,1,0
2002-08-20,ALG,Algeria,COD,DR Congo,1,1
2002-08-21,BRA,Brazil,PAR,Paraguay,0,1
2002-08-21,NOR,Norway,NED,Netherlands,0,1
2002-08-21,SUI,Switzerland,AUT,Austria,3,2
2002-08-21,TUN,Tunisia,FRA,France,1,1
2002-08-30,JOR,Jordan,IRN,Iran,1,0
2002-09-05,IRQ,Iraq,IRN,Iran,0,0
2002-09-07,ENG,England,POR,Portugal,1,1
2002-09-07,JOR,Jordan,IRQ,Iraq,2,3
2002-09-08,CIV,Ivory Coast,RSA,South Africa,0,0
2002-09-17,IRN,Iran,MAR,Morocco,1,1
2002-09-19,IRN,Iran,PAR,Paraguay,1,1
2002-10-11,BIH,Bosnia and Herzegovina,GER,Germany,1,1
2002-10-12,POR,Portugal,TUN,Tunisia,1,1
2002-10-15,SCO,Scotland,CAN,Canada,3,1
2002-10-16,AUT,Austria,NED,Netherlands,0,3
2002-10-16,NOR,Norway,BIH,Bosnia and Herzegovina,2,0
2002-10-16,ESP,Spain,PAR,Paraguay,0,0
2002-10-16,SWE,Sweden,POR,Portugal,2,3
2002-11-19,RSA,South Africa,SEN,Senegal,1,1
2002-11-20,AUT,Austria,NOR,Norway,0,1
2002-11-20,CZE,Czech Republic,SWE,Sweden,3,3
2002-11-20,GER,Germany,NED,Netherlands,1,3
2002-11-20,JPN,Japan,ARG,Argentina,0,2
2002-11-20,KOR,South Korea,BRA,Brazil,2,3
2002-11-20,POR,Portugal,SCO,Scotland,2,0
2002-11-20,QAT,Qatar,IRQ,Iraq,2,1
2002-11-20,TUN,Tunisia,EGY,Egypt,0,0
2002-11-22,HAI,Haiti,CUW,Curaçao,3,0
2002-12-22,EGY,Egypt,GHA,Ghana,0,0
2003-01-18,USA,United States,CAN,Canada,4,0
