date,home_sigla,home_team,away_sigla,away_team,home_score,away_score
1969-03-12,ENG,England,FRA,France,5,0
1969-03-19,ARG,Argentina,PAR,Paraguay,1,1
1969-03-22,MAR,Morocco,ALG,Algeria,2,0
1969-03-26,ESP,Spain,SUI,Switzerland,1,0
1969-04-06,POR,Portugal,MEX,Mexico,0,0
1969-04-09,PAR,Paraguay,ARG,Argentina,0,0
1969-04-16,BEL,Belgium,MEX,Mexico,2,0
1969-04-16,POR,Portugal,SUI,Switzerland,0,2
1969-04-16,SCO,Scotland,GER,Germany,1,1
1969-04-20,HAI,Haiti,USA,United States,2,0
1969-04-23,ESP,Spain,MEX,Mexico,0,0
1969-04-27,TUN,Tunisia,MAR,Morocco,0,0
1969-05-01,SWE,Sweden,MEX,Mexico,1,0
1969-05-08,NOR,Norway,MEX,Mexico,0,2
1969-05-10,ENG,England,SCO,Scotland,4,1
1969-05-10,GER,Germany,AUT,Austria,1,0
1969-05-11,USA,United States,HAI,Haiti,0,1
1969-05-18,MAR,Morocco,TUN,Tunisia,0,0
1969-06-01,MEX,Mexico,ENG,England,0,0
1969-06-01,SWE,Sweden,NOR,Norway,4,2
1969-06-03,MEX,Mexico,ENG,England,0,4
1969-06-08,URU,Uruguay,ENG,England,1,2
1969-06-12,BRA,Brazil,ENG,England,2,1
1969-06-13,TUN,Tunisia,MAR,Morocco,2,2
1969-06-19,NOR,Norway,SWE,Sweden,2,5
1969-06-22,ECU,Ecuador,COL,Colombia,4,1
1969-07-02,COL,Colombia,URU,Uruguay,0,1
1969-07-06,ECU,Ecuador,URU,Uruguay,0,2
1969-07-20,URU,Uruguay,ECU,Ecuador,1,0
1969-08-06,COL,Colombia,BRA,Brazil,0,2
1969-08-10,COL,Colombia,PAR,Paraguay,0,1
1969-08-17,PAR,Paraguay,BRA,Brazil,0,3
1969-08-21,BRA,Brazil,COL,Colombia,6,2
1969-08-24,PAR,Paraguay,COL,Colombia,2,1
1969-08-31,BRA,Brazil,PAR,Paraguay,1,0
1969-09-10,NOR,Norway,FRA,France,1,3
1969-09-17,TUR,Turkey,IRN,Iran,4,0
1969-09-19,EGY,Egypt,ALG,Algeria,1,0
1969-09-21,AUT,Austria,GER,Germany,1,1
1969-09-24,TUR,Turkey,SUI,Switzerland,3,0
1969-09-28,ALG,Algeria,EGY,Egypt,1,1
1969-10-10,JPN,Japan,AUS,Australia,1,3
1969-10-12,KOR,South Korea,JPN,Japan,2,2
1969-10-14,KOR,South Korea,AUS,Australia,1,2
1969-10-15,SWE,Sweden,FRA,France,2,0
1969-10-16,AUS,Australia,JPN,Japan,1,1
1969-10-18,KOR,South Korea,JPN,Japan,2,0
1969-10-20,KOR,South Korea,AUS,Australia,1,1
1969-10-22,GER,Germany,SCO,Scotland,3,2
1969-10-30,ALG,Algeria,MAR,Morocco,1,0
1969-11-01,FRA,France,SWE,Sweden,3,0
1969-11-02,SUI,Switzerland,POR,Portugal,1,1
1969-11-05,AUT,Austria,SCO,Scotland,2,0
1969-11-05,MEX,Mexico,BEL,Belgium,1,0
1969-11-05,NED,Netherlands,ENG,England,0,1
1969-11-09,CIV,Ivory Coast,MAR,Morocco,1,0
1969-11-11,MEX,Mexico,NOR,Norway,4,0
1969-12-04,MEX,Mexico,CUW,Curaçao,2,2
1969-12-10,ENG,England,POR,Portugal,1,0
1970-01-14,ENG,England,NED,Netherlands,0,0
1970-02-07,COD,DR Congo,GHA,Ghana,0,2
1970-02-09,EGY,Egypt,GHA,Ghana,1,1
1970-02-11,COD,DR Congo,EGY,Egypt,0,1
1970-02-11,ESP,Spain,GER,Germany,2,0
1970-02-14,GHA,Ghana,CIV,Ivory Coast,2,1
1970-02-16,EGY,Egypt,CIV,Ivory Coast,3,1
1970-02-22,MEX,Mexico,SWE,Sweden,0,0
1970-02-25,BEL,Belgium,ENG,England,1,3
1970-03-01,MEX,Mexico,SWE,Sweden,0,1
1970-03-04,BRA,Brazil,ARG,Argentina,0,2
1970-03-08,BRA,Brazil,ARG,Argentina,2,1
1970-04-02,KSA,Saudi Arabia,QAT,Qatar,1,1
1970-04-08,ARG,Argentina,URU,Uruguay,2,1
1970-04-12,BRA,Brazil,PAR,Paraguay,0,0
1970-04-15,GHA,Ghana,CIV,Ivory Coast,3,0
1970-04-15,URU,Uruguay,ARG,Argentina,2,1
1970-04-19,GHA,Ghana,CIV,Ivory Coast,1,1
1970-04-22,SUI,Switzerland,ESP,Spain,0,1
1970-04-25,SCO,Scotland,ENG,England,0,0
1970-04-29,BRA,Brazil,AUT,Austria,1,0
1970-04-29,MEX,Mexico,ECU,Ecuador,4,2
1970-05-03,SUI,Switzerland,FRA,France,2,1
1970-05-20,COL,Colombia,ENG,England,0,4
1970-05-24,ECU,Ecuador,ENG,England,0,2
1970-06-03,GER,Germany,MAR,Morocco,2,1
1970-06-07,BRA,Brazil,ENG,England,1,0
1970-06-10,SWE,Sweden,URU,Uruguay,1,0
1970-06-11,MEX,Mexico,BEL,Belgium,1,0
1970-06-14,ENG,England,GER,Germany,2,3
1970-06-17,BRA,Brazil,URU,Uruguay,3,1
1970-06-20,GER,Germany,URU,Uruguay,1,0
1970-08-02,JPN,Japan,KOR,South Korea,1,1
1970-09-11,IRN,Iran,TUR,Turkey,1,1
1970-09-30,BRA,Brazil,MEX,Mexico,2,1
1970-10-07,AUT,Austria,FRA,France,1,0
1970-10-17,GER,Germany,TUR,Turkey,1,1
1970-10-18,CIV,Ivory Coast,SEN,Senegal,0,1
1970-10-22,PAR,Paraguay,ARG,Argentina,1,1
1970-11-04,IRN,Iran,AUS,Australia,1,2
1970-11-11,FRA,France,NOR,Norway,3,1
1970-11-15,BEL,Belgium,FRA,France,1,2
1970-12-10,ALG,Algeria,MAR,Morocco,3,1
1970-12-11,IRN,Iran,KOR,South Korea,0,1
1970-12-18,JPN,Japan,KOR,South Korea,1,2
1970-12-27,MAR,Morocco,ALG,Algeria,3,0
1971-01-08,ARG,Argentina,FRA,France,3,4
1971-01-10,GHA,Ghana,COD,DR Congo,1,1
1971-01-13,ARG,Argentina,FRA,France,2,0
1971-02-03,BEL,Belgium,SCO,Scotland,3,0
1971-02-17,BEL,Belgium,POR,Portugal,3,0
1971-03-17,ESP,Spain,FRA,France,2,2
1971-04-21,POR,Portugal,SCO,Scotland,2,0
1971-04-25,TUR,Turkey,GER,Germany,0,3
1971-05-02,CIV,Ivory Coast,GHA,Ghana,2,6
1971-05-22,ENG,England,SCO,Scotland,3,1
1971-05-26,SWE,Sweden,AUT,Austria,1,0
1971-06-22,NOR,Norway,GER,Germany,1,7
1971-06-27,SWE,Sweden,GER,Germany,1,0
1971-07-04,PAR,Paraguay,ARG,Argentina,1,1
1971-07-09,ARG,Argentina,PAR,Paraguay,1,0
1971-07-11,BRA,Brazil,AUT,Austria,1,1
1971-07-14,ARG,Argentina,URU,Uruguay,1,0
1971-07-18,URU,Uruguay,ARG,Argentina,1,1
1971-07-24,BRA,Brazil,PAR,Paraguay,1,0
1971-07-28,ARG,Argentina,BRA,Brazil,1,1
1971-07-31,ARG,Argentina,BRA,Brazil,2,2
1971-08-08,SWE,Sweden,NOR,Norway,3,0
1971-09-04,AUT,Austria,SWE,Sweden,1,0
1971-09-08,GER,Germany,MEX,Mexico,5,0
1971-09-08,NOR,Norway,FRA,France,1,3
1971-09-10,KOR,South Korea,IRN,Iran,2,0
1971-09-12,KOR,South Korea,IRN,Iran,0,2
1971-09-26,SUI,Switzerland,TUR,Turkey,4,0
1971-10-13,MAR,Morocco,EGY,Egypt,3,0
1971-10-13,SCO,Scotland,POR,Portugal,2,1
1971-10-13,SUI,Switzerland,ENG,England,2,3
1971-10-27,EGY,Egypt,MAR,Morocco,3,2
1971-11-10,ENG,England,SUI,Switzerland,1,1
1971-11-10,SCO,Scotland,BEL,Belgium,1,0
1971-11-21,HAI,Haiti,MEX,Mexico,0,0
1971-11-21,POR,Portugal,BEL,Belgium,1,1
1971-12-01,NED,Netherlands,SCO,Scotland,2,1
1971-12-18,IRQ,Iraq,JOR,Jordan,2,0
1972-01-01,IRQ,Iraq,EGY,Egypt,0,0
1972-01-04,ALG,Algeria,QAT,Qatar,3,0
1972-01-12,IRQ,Iraq,ALG,Algeria,3,1
1972-01-14,IRQ,Iraq,EGY,Egypt,1,3
1972-02-17,SEN,Senegal,MAR,Morocco,1,3
1972-02-20,TUN,Tunisia,AUT,Austria,3,3
1972-02-29,MAR,Morocco,COD,DR Congo,1,1
1972-03-24,KSA,Saudi Arabia,QAT,Qatar,4,0
1972-04-19,GHA,Ghana,CIV,Ivory Coast,1,2
1972-04-26,BRA,Brazil,PAR,Paraguay,3,2
1972-04-26,SUI,Switzerland,SWE,Sweden,1,1
1972-04-29,ENG,England,GER,Germany,1,3
1972-05-07,KOR,South Korea,IRQ,Iraq,0,0
1972-05-09,IRN,Iran,IRQ,Iraq,3,0
1972-05-13,GER,Germany,ENG,England,0,0
1972-05-19,IRN,Iran,KOR,South Korea,2,1
1972-05-23,ESP,Spain,URU,Uruguay,2,0
1972-05-25,ARG,Argentina,PAR,Paraguay,0,0
1972-05-27,SCO,Scotland,ENG,England,0,1
1972-06-05,TUN,Tunisia,ALG,Algeria,3,1
1972-06-10,AUT,Austria,SWE,Sweden,2,0
1972-06-11,ECU,Ecuador,POR,Portugal,0,3
1972-06-14,BEL,Belgium,GER,Germany,1,2
1972-06-14,IRN,Iran,POR,Portugal,0,3
1972-06-14,NOR,Norway,URU,Uruguay,0,1
1972-06-18,COL,Colombia,FRA,France,2,3
1972-06-21,ECU,Ecuador,IRN,Iran,1,1
1972-06-22,ARG,Argentina,COL,Colombia,4,1
1972-06-25,ARG,Argentina,FRA,France,0,0
1972-06-29,ARG,Argentina,POR,Portugal,1,3
1972-07-02,POR,Portugal,URU,Uruguay,1,1
1972-07-05,BRA,Brazil,SCO,Scotland,1,0
1972-07-06,ARG,Argentina,URU,Uruguay,1,0
1972-07-09,BRA,Brazil,POR,Portugal,1,0
1972-07-26,JPN,Japan,KOR,South Korea,0,3
1972-08-20,CAN,Canada,USA,United States,3,2
1972-08-24,CAN,Canada,MEX,Mexico,0,1
1972-08-29,USA,United States,CAN,Canada,2,2
1972-09-03,MEX,Mexico,USA,United States,3,1
1972-09-06,MEX,Mexico,CAN,Canada,2,1
1972-09-10,USA,United States,MEX,Mexico,1,2
1972-09-14,JPN,Japan,KOR,South Korea,2,2
1972-09-17,NOR,Norway,SWE,Sweden,1,3
1972-10-04,ALG,Algeria,TUR,Turkey,1,0
1972-10-04,NOR,Norway,BEL,Belgium,0,2
1972-10-09,AUS,Australia,NZL,New Zealand,3,1
1972-10-11,ESP,Spain,ARG,Argentina,1,0
1972-10-22,KOR,South Korea,AUS,Australia,1,1
1972-10-24,KOR,South Korea,AUS,Australia,0,2
1972-11-01,NED,Netherlands,NOR,Norway,9,0
1972-11-15,GER,Germany,SUI,Switzerland,5,1
1972-11-16,TUN,Tunisia,ALG,Algeria,1,2
1972-11-19,BEL,Belgium,NED,Netherlands,0,0
1972-11-19,MAR,Morocco,SEN,Senegal,0,0
1972-12-03,SEN,Senegal,MAR,Morocco,1,2
1972-12-08,EGY,Egypt,TUN,Tunisia,2,1
1972-12-14,HAI,Haiti,CUW,Curaçao,3,0
1972-12-17,HAI,Haiti,CUW,Curaçao,4,1
1972-12-17,TUN,Tunisia,EGY,Egypt,2,0
1973-01-12,GHA,Ghana,ALG,Algeria,2,0
1973-01-16,EGY,Egypt,GHA,Ghana,2,1
1973-02-06,MEX,Mexico,ARG,Argentina,2,0
1973-02-11,TUN,Tunisia,CIV,Ivory Coast,1,1
1973-02-14,GER,Germany,ARG,Argentina,2,3
1973-02-14,SCO,Scotland,ENG,England,0,5
1973-02-14,TUR,Turkey,ALG,Algeria,4,0
1973-02-17,MAR,Morocco,SEN,Senegal,3,1
1973-02-25,CIV,Ivory Coast,TUN,Tunisia,2,1
1973-03-03,FRA,France,POR,Portugal,1,2
1973-03-04,NZL,New Zealand,AUS,Australia,1,1
1973-03-11,AUS,Australia,IRQ,Iraq,3,1
1973-03-13,IRQ,Iraq,NZL,New Zealand,2,0
1973-03-16,AUS,Australia,NZL,New Zealand,3,3
1973-03-18,AUS,Australia,IRQ,Iraq,0,0
1973-03-24,IRQ,Iraq,NZL,New Zealand,4,0
1973-03-28,AUT,Austria,NED,Netherlands,1,0
1973-04-08,GHA,Ghana,SEN,Senegal,3,2
1973-04-21,SEN,Senegal,GHA,Ghana,1,0
1973-05-02,NED,Netherlands,ESP,Spain,3,2
1973-05-09,SUI,Switzerland,TUR,Turkey,0,0
1973-05-12,HAI,Haiti,ECU,Ecuador,1,2
1973-05-15,HAI,Haiti,ECU,Ecuador,1,0
1973-05-17,ARG,Argentina,URU,Uruguay,1,1
1973-05-19,ENG,England,SCO,Scotland,1,0
1973-05-20,CIV,Ivory Coast,MAR,Morocco,1,1
1973-05-23,SWE,Sweden,AUT,Austria,3,2
1973-05-23,URU,Uruguay,ARG,Argentina,1,1
1973-05-27,HAI,Haiti,COL,Colombia,1,2
1973-05-29,HAI,Haiti,COL,Colombia,2,1
1973-06-03,ALG,Algeria,BRA,Brazil,0,2
1973-06-03,MAR,Morocco,CIV,Ivory Coast,4,1
1973-06-06,HAI,Haiti,URU,Uruguay,0,0
1973-06-06,TUN,Tunisia,BRA,Brazil,1,4
1973-06-13,AUT,Austria,BRA,Brazil,1,1
1973-06-16,GER,Germany,BRA,Brazil,0,1
1973-06-21,COL,Colombia,ECU,Ecuador,1,1
1973-06-22,SUI,Switzerland,SCO,Scotland,1,0
1973-06-23,KOR,South Korea,JPN,Japan,2,0
1973-06-24,COL,Colombia,URU,Uruguay,0,0
1973-06-25,SWE,Sweden,BRA,Brazil,1,0
1973-06-28,ECU,Ecuador,COL,Colombia,1,1
1973-06-30,SCO,Scotland,BRA,Brazil,0,1
1973-07-01,ECU,Ecuador,URU,Uruguay,1,2
1973-07-05,URU,Uruguay,COL,Colombia,0,1
1973-07-08,URU,Uruguay,ECU,Ecuador,4,0
1973-07-15,GHA,Ghana,CIV,Ivory Coast,0,3
1973-07-29,CIV,Ivory Coast,GHA,Ghana,1,0
1973-08-05,CAN,Canada,USA,United States,0,2
1973-08-05,GHA,Ghana,COD,DR Congo,1,0
1973-08-12,NZL,New Zealand,IRN,Iran,0,0
1973-08-15,ALG,Algeria,IRQ,Iraq,0,0
1973-08-15,EGY,Egypt,TUN,Tunisia,0,1
1973-08-18,AUS,Australia,IRN,Iran,3,0
1973-08-19,COD,DR Congo,GHA,Ghana,4,1
1973-08-23,IRQ,Iraq,TUN,Tunisia,0,2
1973-08-24,IRN,Iran,AUS,Australia,2,0
1973-08-25,ALG,Algeria,IRQ,Iraq,0,0
1973-09-12,NOR,Norway,NED,Netherlands,1,2
1973-09-16,PAR,Paraguay,ARG,Argentina,1,1
1973-09-26,ENG,England,AUT,Austria,7,0
1973-10-07,ARG,Argentina,PAR,Paraguay,3,1
1973-10-10,GER,Germany,AUT,Austria,4,0
1973-10-13,GER,Germany,FRA,France,2,1
1973-10-16,MEX,Mexico,USA,United States,2,0
1973-10-17,TUR,Turkey,ESP,Spain,0,0
1973-10-28,AUS,Australia,KOR,South Korea,0,0
1973-10-31,ALG,Algeria,MAR,Morocco,2,0
1973-10-31,BEL,Belgium,NOR,Norway,2,0
1973-11-03,HAI,Haiti,USA,United States,1,0
1973-11-05,HAI,Haiti,USA,United States,1,0
1973-11-10,HAI,Haiti,CAN,Canada,5,1
1973-11-10,KOR,South Korea,AUS,Australia,2,2
1973-11-12,HAI,Haiti,CAN,Canada,0,1
1973-11-13,AUS,Australia,KOR,South Korea,1,0
1973-11-14,SCO,Scotland,GER,Germany,1,1
1973-11-18,NED,Netherlands,BEL,Belgium,0,0
1973-11-18,TUR,Turkey,SUI,Switzerland,2,0
1973-11-24,GER,Germany,ESP,Spain,2,1
1973-11-27,AUT,Austria,SWE,Sweden,1,2
1973-12-01,HAI,Haiti,CUW,Curaçao,3,0
1973-12-08,MEX,Mexico,CUW,Curaçao,8,0
1973-12-09,COD,DR Congo,MAR,Morocco,3,0
1973-12-18,HAI,Haiti,MEX,Mexico,0,1
1974-01-20,IRN,Iran,TUR,Turkey,0,1
1974-02-22,IRQ,Iraq,MAR,Morocco,0,0
1974-02-23,ESP,Spain,GER,Germany,1,0
1974-02-24,IRQ,Iraq,MAR,Morocco,0,0
1974-02-27,QAT,Qatar,MAR,Morocco,0,1
1974-03-06,EGY,Egypt,CIV,Ivory Coast,2,0
1974-03-06,KSA,Saudi Arabia,MAR,Morocco,0,0
1974-03-09,EGY,Egypt,COD,DR Congo,2,3
1974-03-16,QAT,Qatar,KSA,Saudi Arabia,0,2
1974-03-23,HAI,Haiti,URU,Uruguay,0,1
1974-03-25,HAI,Haiti,URU,Uruguay,0,0
1974-03-26,QAT,Qatar,KSA,Saudi Arabia,1,3
1974-03-27,GER,Germany,SCO,Scotland,2,1
1974-03-27,NED,Netherlands,AUT,Austria,1,1
1974-03-31,BRA,Brazil,MEX,Mexico,1,1
1974-04-03,POR,Portugal,ENG,England,0,0
1974-04-07,MAR,Morocco,ALG,Algeria,2,0
1974-04-21,BRA,Brazil,HAI,Haiti,4,0
1974-05-01,BRA,Brazil,AUT,Austria,0,0
1974-05-01,GER,Germany,SWE,Sweden,2,0
1974-05-01,SUI,Switzerland,BEL,Belgium,0,1
1974-05-12,BRA,Brazil,PAR,Paraguay,2,0
1974-05-18,FRA,France,ARG,Argentina,0,1
1974-05-18,SCO,Scotland,ENG,England,2,0
1974-05-22,ENG,England,ARG,Argentina,2,2
1974-05-26,NED,Netherlands,ARG,Argentina,4,1
1974-06-01,BEL,Belgium,SCO,Scotland,2,1
1974-06-02,TUN,Tunisia,IRQ,Iraq,2,1
1974-06-06,NOR,Norway,SCO,Scotland,1,2
1974-06-09,SWE,Sweden,SUI,Switzerland,0,0
1974-06-14,COD,DR Congo,SCO,Scotland,0,2
1974-06-15,URU,Uruguay,NED,Netherlands,0,2
1974-06-18,GER,Germany,AUS,Australia,3,0
1974-06-18,SCO,Scotland,BRA,Brazil,0,0
1974-06-19,NED,Netherlands,SWE,Sweden,0,0
1974-06-22,COD,DR Congo,BRA,Brazil,0,3
1974-06-23,ARG,Argentina,HAI,Haiti,4,1
1974-06-23,SWE,Sweden,URU,Uruguay,3,0
1974-06-26,NED,Netherlands,ARG,Argentina,4,0
1974-06-30,ARG,Argentina,BRA,Brazil,1,2
1974-06-30,GER,Germany,SWE,Sweden,4,2
1974-07-03,NED,Netherlands,BRA,Brazil,2,0
1974-07-07,GER,Germany,NED,Netherlands,2,1
1974-08-08,SWE,Sweden,NOR,Norway,2,1
1974-09-04,SWE,Sweden,NED,Netherlands,1,5
1974-09-04,SUI,Switzerland,GER,Germany,1,2
1974-09-05,MEX,Mexico,USA,United States,3,1
1974-09-08,USA,United States,MEX,Mexico,0,1
1974-09-09,IRQ,Iraq,KOR,South Korea,1,1
1974-09-11,CIV,Ivory Coast,GHA,Ghana,1,1
1974-09-11,IRN,Iran,KOR,South Korea,2,0
1974-09-13,IRN,Iran,IRQ,Iraq,1,0
1974-09-28,JPN,Japan,KOR,South Korea,4,1
1974-09-29,ALG,Algeria,JOR,Jordan,6,0
1974-10-01,MAR,Morocco,TUN,Tunisia,3,1
1974-10-03,ALG,Algeria,TUN,Tunisia,0,1
1974-10-09,NED,Netherlands,SUI,Switzerland,1,0
1974-10-12,ARG,Argentina,ESP,Spain,1,1
1974-10-12,BEL,Belgium,FRA,France,2,1
1974-10-31,ALG,Algeria,MAR,Morocco,0,0
1974-11-13,SUI,Switzerland,POR,Portugal,3,0
1974-11-13,TUR,Turkey,AUT,Austria,0,1
1974-11-20,ENG,England,POR,Portugal,0,0
1974-11-20,SCO,Scotland,ESP,Spain,1,2
1974-12-01,TUR,Turkey,SUI,Switzerland,2,1
1975-01-01,IRQ,Iraq,TUN,Tunisia,0,0
1975-02-05,ESP,Spain,SCO,Scotland,1,1
1975-03-02,MAR,Morocco,TUN,Tunisia,0,0
1975-03-09,BRA,Brazil,POR,Portugal,2,1
1975-03-12,ENG,England,GER,Germany,2,0
1975-03-22,MAR,Morocco,SEN,Senegal,4,0
1975-03-22,SEN,Senegal,MAR,Morocco,2,1
1975-03-23,TUN,Tunisia,ALG,Algeria,1,1
1975-04-02,IRQ,Iraq,QAT,Qatar,1,0
1975-04-04,KSA,Saudi Arabia,QAT,Qatar,2,1
1975-04-06,ALG,Algeria,TUN,Tunisia,1,2
1975-04-06,IRQ,Iraq,KSA,Saudi Arabia,1,1
1975-04-10,IRQ,Iraq,QAT,Qatar,3,0
1975-04-12,IRQ,Iraq,KSA,Saudi Arabia,2,1
1975-04-14,KSA,Saudi Arabia,QAT,Qatar,0,1
1975-04-16,SWE,Sweden,SCO,Scotland,1,1
1975-04-26,FRA,France,POR,Portugal,0,2
1975-04-26,SEN,Senegal,CIV,Ivory Coast,1,0
1975-04-30,BEL,Belgium,NED,Netherlands,1,0
1975-04-30,SUI,Switzerland,TUR,Turkey,1,1
1975-05-13,SCO,Scotland,POR,Portugal,1,0
1975-05-17,GER,Germany,NED,Netherlands,1,1
1975-05-19,SWE,Sweden,ALG,Algeria,4,0
1975-05-24,ENG,England,SCO,Scotland,5,1
1975-06-12,PAR,Paraguay,URU,Uruguay,0,1
1975-06-19,URU,Uruguay,PAR,Paraguay,0,1
1975-06-29,GHA,Ghana,MAR,Morocco,2,0
1975-06-30,SWE,Sweden,NOR,Norway,3,1
1975-07-12,EGY,Egypt,COD,DR Congo,3,2
1975-07-13,MAR,Morocco,GHA,Ghana,2,0
1975-07-18,URU,Uruguay,ARG,Argentina,2,3
1975-07-20,COL,Colombia,PAR,Paraguay,1,0
1975-07-24,ECU,Ecuador,PAR,Paraguay,2,2
1975-07-27,ECU,Ecuador,COL,Colombia,1,3
1975-07-30,PAR,Paraguay,COL,Colombia,0,1
1975-08-06,BRA,Brazil,ARG,Argentina,2,1
1975-08-06,GHA,Ghana,CIV,Ivory Coast,3,1
1975-08-07,COL,Colombia,ECU,Ecuador,2,0
1975-08-09,JPN,Japan,KOR,South Korea,1,3
1975-08-10,GHA,Ghana,CIV,Ivory Coast,0,0
1975-08-10,PAR,Paraguay,ECU,Ecuador,3,1
1975-08-13,NOR,Norway,SWE,Sweden,0,2
1975-08-15,PAN,Panama,HAI,Haiti,2,0
1975-08-16,ARG,Argentina,BRA,Brazil,0,1
1975-08-17,PAN,Panama,HAI,Haiti,1,1
1975-08-21,ARG,Argentina,USA,United States,6,0
1975-08-24,MEX,Mexico,USA,United States,2,0
1975-08-31,MEX,Mexico,ARG,Argentina,1,1
1975-09-03,AUT,Austria,GER,Germany,0,2
1975-09-03,SUI,Switzerland,ENG,England,1,2
1975-09-08,KOR,South Korea,JPN,Japan,3,0
1975-09-21,COL,Colombia,URU,Uruguay,3,0
1975-10-01,URU,Uruguay,COL,Colombia,1,0
1975-11-15,FRA,France,BEL,Belgium,0,0
1975-11-19,POR,Portugal,ENG,England,1,1
1975-12-20,TUR,Turkey,GER,Germany,0,5
1975-12-23,EGY,Egypt,KSA,Saudi Arabia,2,1
1975-12-23,TUN,Tunisia,IRQ,Iraq,1,1
1975-12-28,EGY,Egypt,IRQ,Iraq,1,0
1976-01-09,KSA,Saudi Arabia,ALG,Algeria,1,3
1976-02-08,IRQ,Iraq,TUR,Turkey,0,0
1976-02-20,KSA,Saudi Arabia,MAR,Morocco,0,2
1976-02-25,PAR,Paraguay,ARG,Argentina,2,3
1976-02-25,URU,Uruguay,BRA,Brazil,1,2
1976-02-27,ARG,Argentina,BRA,Brazil,1,2
1976-02-28,TUN,Tunisia,SWE,Sweden,1,1
1976-02-29,NZL,New Zealand,AUS,Australia,0,1
1976-03-02,ALG,Algeria,SWE,Sweden,0,2
1976-03-02,AUS,Australia,NZL,New Zealand,3,1
1976-03-04,MAR,Morocco,COD,DR Congo,1,0
1976-03-09,EGY,Egypt,MAR,Morocco,1,2
1976-03-10,URU,Uruguay,PAR,Paraguay,2,2
1976-03-21,CIV,Ivory Coast,SEN,Senegal,4,1
1976-03-26,QAT,Qatar,KSA,Saudi Arabia,1,0
1976-04-01,IRQ,Iraq,KSA,Saudi Arabia,7,1
1976-04-03,QAT,Qatar,IRQ,Iraq,0,0
1976-04-07,PAR,Paraguay,BRA,Brazil,1,1
1976-04-07,SCO,Scotland,SUI,Switzerland,1,0
1976-04-08,ARG,Argentina,URU,Uruguay,4,1
1976-04-24,ESP,Spain,GER,Germany,1,1
1976-04-25,NED,Netherlands,BEL,Belgium,5,0
1976-04-28,ARG,Argentina,PAR,Paraguay,2,2
1976-04-28,AUT,Austria,SWE,Sweden,1,0
1976-04-28,BRA,Brazil,URU,Uruguay,2,1
1976-05-15,SCO,Scotland,ENG,England,2,1
1976-05-19,BRA,Brazil,ARG,Argentina,2,0
1976-05-19,PAR,Paraguay,URU,Uruguay,1,0
1976-05-22,BEL,Belgium,NED,Netherlands,1,2
1976-05-22,GER,Germany,ESP,Spain,2,0
1976-05-23,BRA,Brazil,ENG,England,1,0
1976-06-04,IRN,Iran,IRQ,Iraq,2,0
1976-06-04,MEX,Mexico,BRA,Brazil,0,3
1976-06-09,BRA,Brazil,PAR,Paraguay,3,1
1976-06-09,URU,Uruguay,ARG,Argentina,0,3
1976-06-16,SWE,Sweden,NOR,Norway,2,0
1976-07-30,CUW,Curaçao,HAI,Haiti,1,2
1976-08-14,HAI,Haiti,CUW,Curaçao,7,0
1976-08-18,JPN,Japan,KOR,South Korea,0,0
1976-09-05,KSA,Saudi Arabia,IRQ,Iraq,0,0
1976-09-08,NOR,Norway,SUI,Switzerland,1,0
1976-09-09,CIV,Ivory Coast,GHA,Ghana,3,1
1976-09-12,KSA,Saudi Arabia,MAR,Morocco,0,2
1976-09-22,AUT,Austria,SUI,Switzerland,3,1
1976-09-22,NOR,Norway,SWE,Sweden,3,2
1976-09-23,KOR,South Korea,NZL,New Zealand,2,0
1976-09-24,CAN,Canada,USA,United States,1,1
1976-09-30,KSA,Saudi Arabia,TUN,Tunisia,0,1
1976-10-03,USA,United States,MEX,Mexico,0,0
1976-10-09,SUI,Switzerland,SWE,Sweden,1,2
1976-10-10,CAN,Canada,MEX,Mexico,1,0
1976-10-15,COL,Colombia,URU,Uruguay,1,2
1976-10-15,MEX,Mexico,USA,United States,3,0
1976-10-20,ECU,Ecuador,URU,Uruguay,2,2
1976-10-20,USA,United States,CAN,Canada,2,0
1976-10-27,MEX,Mexico,CAN,Canada,0,0
1976-11-10,HAI,Haiti,USA,United States,0,0
1976-11-12,HAI,Haiti,USA,United States,0,0
1976-11-14,HAI,Haiti,USA,United States,0,0
1976-12-04,JPN,Japan,KOR,South Korea,1,2
1976-12-12,MAR,Morocco,TUN,Tunisia,1,1
1976-12-22,CAN,Canada,USA,United States,3,0
1977-01-04,URU,Uruguay,ECU,Ecuador,1,1
1977-01-07,KSA,Saudi Arabia,IRN,Iran,0,3
1977-01-09,PAR,Paraguay,ECU,Ecuador,2,0
1977-01-09,TUN,Tunisia,MAR,Morocco,1,1
1977-01-12,PAR,Paraguay,URU,Uruguay,1,1
1977-01-16,COL,Colombia,ECU,Ecuador,0,1
1977-01-23,URU,Uruguay,PAR,Paraguay,2,1
1977-01-26,ECU,Ecuador,COL,Colombia,4,1
1977-02-06,TUN,Tunisia,ALG,Algeria,2,0
1977-02-09,ENG,England,NED,Netherlands,0,2
1977-02-13,ECU,Ecuador,PAR,Paraguay,2,1
1977-02-20,COL,Colombia,BRA,Brazil,0,0
1977-02-20,PAN,Panama,PAR,Paraguay,0,4
1977-02-23,FRA,France,GER,Germany,1,0
1977-02-24,COL,Colombia,PAR,Paraguay,0,1
1977-02-28,ALG,Algeria,TUN,Tunisia,1,1
